"group","Genome_Size"
"plas",3.666761
"plas",3.308558
"plas",3.820537
"plas",3.39716
"plas",2.535301
"plas",5.735965
"plas",3.079967
"plas",5.236008
"plas",9.232655
"plas",11.947908
"env",4.964488
"env",2.672391
"plas",3.627867
"plas",3.634571
"plas",3.915606
"plas",6.014611
"env",6.26051
"env",3.839093
"plas",2.726284
"env",2.314952
"plas",3.427713
"env",2.493121
"env",3.413721
"plas",4.818128
"plas",5.282851
"plas",4.002213
"plas",4.191369
"env",3.069381
"plas",3.753065
"env",5.552124
"env",2.470871
"env",2.776219
"env",3.08124
"plas",3.51055
"env",3.639845
"plas",3.475002
"env",4.445783
"plas",4.277163
"env",3.194081
"plas",3.967083
"env",4.411214
"env",7.488387
"env",1.760461
"env",4.901367
"env",2.253852
"env",1.793752
"env",3.556889
"env",1.816573
"env",3.721514
"plas",7.327005
"env",5.380154
"env",3.969821
"env",1.996017
"env",1.960168
"plas",4.523824
"env",3.523743
"env",4.327188
"env",6.234044
"env",3.202351
"env",2.48419
"env",5.224271
"env",5.425518
"env",2.255715
"env",2.567915
"env",2.837078
"env",4.327566
"env",3.407571
"env",2.496798
"env",1.714582
"plas",4.29702
"env",2.955245
"plas",3.330164
"env",2.087237
"env",4.358519
"env",1.421
"env",2.2932
"env",2.517948
"env",2.120807
"env",4.845311
"env",2.667445
"env",5.487758
"env",3.577931
"plas",3.463322
"env",4.911759
"plas",5.14434
"plas",4.167204
"env",2.328831
"env",2.76806
"plas",3.295123
"env",2.083544
"plas",3.355896
"plas",3.019755
"env",3.54061
"plas",3.764255
"plas",3.275391
"plas",3.805648
"plas",3.714702
"plas",3.555732
"plas",2.499293
"plas",1.990857
"plas",3.251564
"plas",3.264603
"plas",3.513135
"plas",2.209401
"plas",3.008679
"plas",2.855077
"plas",4.99005
"env",7.221308
"env",6.747544
"plas",3.236673
"plas",8.943385
"plas",11.179894
"env",2.416737
"env",3.556913
"env",3.156308
"env",3.064412
"plas",3.7837
"plas",3.515318
"plas",3.594305
"plas",2.786107
"env",4.645515
"plas",2.424493
"plas",2.206944
"env",6.364945
"plas",2.113442
"plas",4.733396
"env",2.573344
"plas",5.189403
"plas",5.526606
"plas",4.08952
"plas",5.483366
"env",3.503346
"env",2.233578
"env",1.942079
"env",3.319415
"env",5.764184
"env",3.636788
"env",3.451385
"env",5.772456
"env",2.7778
"env",2.892312
"env",3.771614
"env",2.886662
"env",2.278722
"env",2.276852
"env",2.337787
"env",3.57146
"env",3.413529
"env",3.48984
"env",4.706458
"env",3.534955
"env",2.617844
"env",2.522104
"env",2.246394
"env",3.127236
"env",3.885769
"env",2.853367
"env",1.910055
"env",2.178715
"env",3.061321
"env",2.908632
"plas",3.235833
"env",3.958773
"env",4.571084
"plas",7.967724
"env",5.468566
"env",4.718
"env",2.776872
"env",2.363598
